order_month,avg_shipping_days
2015-01,4.19
2015-02,4.17
2015-03,3.96
2015-04,4.02
2015-05,3.80
2015-06,4.21
2015-07,3.85
2015-08,4.09
2015-09,4.06
2015-10,3.36
2015-11,4.25
2015-12,3.96
2016-01,4.74
2016-02,4.22
2016-03,3.77
2016-04,4.33
2016-05,4.02
2016-06,4.16
2016-07,3.79
2016-08,3.96
2016-09,4.34
2016-10,3.61
2016-11,3.98
2016-12,3.94
2017-01,4.10
2017-02,3.47
2017-03,3.50
2017-04,4.45
2017-05,3.88
2017-06,3.41
2017-07,3.84
2017-08,4.33
2017-09,3.98
2017-10,4.20
2017-11,3.95
2017-12,4.01
2018-01,4.06
2018-02,4.36
2018-03,3.58
2018-04,3.86
2018-05,3.73
2018-06,4.08
2018-07,4.13
2018-08,4.04
2018-09,3.69
2018-10,4.00
2018-11,3.80
2018-12,4.03
